study,time_h,conc_native,conc_unit,conc_mg_L
"Abduljalil 2009, 500 mg po MD",25.9483,3.760238,µmol/l,2.812483
"Abduljalil 2009, 500 mg po MD",25.9528,4.19647026,µmol/l,3.138764
"Abduljalil 2009, 500 mg po MD",26.0071,1.45787823,µmol/l,1.090425
"Abduljalil 2009, 500 mg po MD",26.0093,1.6638813,µmol/l,1.244506
"Abduljalil 2009, 500 mg po MD",26.0104,1.77293932,µmol/l,1.326076
"Abduljalil 2009, 500 mg po MD",26.0326,3.92988825,µmol/l,2.939373
"Abduljalil 2009, 500 mg po MD",26.0858,1.08223951,µmol/l,0.809465
"Abduljalil 2009, 500 mg po MD",26.0991,2.37883544,µmol/l,1.779258
"Abduljalil 2009, 500 mg po MD",26.2561,1.59120262,µmol/l,1.190145
"Abduljalil 2009, 500 mg po MD",26.2721,3.15439534,µmol/l,2.359341
"Abduljalil 2009, 500 mg po MD",26.4237,1.84569824,µmol/l,1.380496
"Abduljalil 2009, 500 mg po MD",26.4347,2.91206622,µmol/l,2.17809
"Abduljalil 2009, 500 mg po MD",26.4521,4.6085434,µmol/l,3.446976
"Abduljalil 2009, 500 mg po MD",26.4561,4.99630976,µmol/l,3.737007
"Abduljalil 2009, 500 mg po MD",26.6012,3.057504,µmol/l,2.286871
"Abduljalil 2009, 500 mg po MD",26.6852,3.202928,µmol/l,2.395641
"Abduljalil 2009, 500 mg po MD",26.759,2.354703,µmol/l,1.761208
"Abduljalil 2009, 500 mg po MD",26.918,1.77307308,µmol/l,1.326176
"Abduljalil 2009, 500 mg po MD",26.9395,3.85731673,µmol/l,2.885093
"Abduljalil 2009, 500 mg po MD",27.0079,2.48802733,µmol/l,1.860929
"Abduljalil 2009, 500 mg po MD",27.0138,3.05755734,µmol/l,2.28691
"Abduljalil 2009, 500 mg po MD",27.0321,4.838866,µmol/l,3.619246
"Abduljalil 2009, 500 mg po MD",27.0403,5.638639,µmol/l,4.217439
"Abduljalil 2009, 500 mg po MD",27.1053,3.9300487,µmol/l,2.939493
"Abduljalil 2009, 500 mg po MD",27.181,3.27570033,µmol/l,2.450071
"Abduljalil 2009, 500 mg po MD",27.2668,3.59077477,µmol/l,2.685732
"Abduljalil 2009, 500 mg po MD",27.4184,2.28209114,µmol/l,1.706898
"Abduljalil 2009, 500 mg po MD",27.4256,2.98491883,µmol/l,2.23258
"Abduljalil 2009, 500 mg po MD",27.4313,3.54233575,µmol/l,2.649502
"Abduljalil 2009, 500 mg po MD",27.5258,4.705649,µmol/l,3.519606
"Abduljalil 2009, 500 mg po MD",27.5423,6.305181,µmol/l,4.715982
"Abduljalil 2009, 500 mg po MD",27.5898,2.90011358,µmol/l,2.16915
"Abduljalil 2009, 500 mg po MD",27.5921,3.13035631,µmol/l,2.341361
"Abduljalil 2009, 500 mg po MD",27.6068,4.560238,µmol/l,3.410846
"Abduljalil 2009, 500 mg po MD",27.6094,4.81472,µmol/l,3.601186
"Abduljalil 2009, 500 mg po MD",27.9312,4.00287437,µmol/l,2.993963
"Abduljalil 2009, 500 mg po MD",28.0015,2.81534863,µmol/l,2.10575
"Abduljalil 2009, 500 mg po MD",28.0026,2.92440677,µmol/l,2.18732
"Abduljalil 2009, 500 mg po MD",28.0034,3.00923848,µmol/l,2.25077
"Abduljalil 2009, 500 mg po MD",28.0062,3.27582049,µmol/l,2.450161
"Abduljalil 2009, 500 mg po MD",28.0796,2.39124274,µmol/l,1.788538
"Abduljalil 2009, 500 mg po MD",28.0906,3.45759749,µmol/l,2.586122
"Abduljalil 2009, 500 mg po MD",28.1028,4.645137,µmol/l,3.474346
"Abduljalil 2009, 500 mg po MD",28.1199,6.30527449,µmol/l,4.716051
"Abduljalil 2009, 500 mg po MD",28.3372,3.3728056,µmol/l,2.522701
"Abduljalil 2009, 500 mg po MD",28.412,2.62152553,µmol/l,1.960779
"Abduljalil 2009, 500 mg po MD",28.498,2.96083951,µmol/l,2.21457
"Abduljalil 2009, 500 mg po MD",28.5038,3.51824331,µmol/l,2.631482
"Abduljalil 2009, 500 mg po MD",28.5054,3.67578053,µmol/l,2.749313
"Abduljalil 2009, 500 mg po MD",28.5136,4.475553,µmol/l,3.347505
"Abduljalil 2009, 500 mg po MD",28.5338,6.438626,µmol/l,4.815792
"Abduljalil 2009, 500 mg po MD",28.583,3.20319533,µmol/l,2.395841
"Abduljalil 2009, 500 mg po MD",28.5915,4.027208,µmol/l,3.012164
"Abduljalil 2009, 500 mg po MD",28.598,4.65733,µmol/l,3.483466
"Abduljalil 2009, 500 mg po MD",28.6572,2.39132285,µmol/l,1.788598
"Abduljalil 2009, 500 mg po MD",28.8301,3.15476966,µmol/l,2.359621
"Abduljalil 2009, 500 mg po MD",28.8598,6.038786,µmol/l,4.516731
"Abduljalil 2009, 500 mg po MD",28.916,3.48195744,µmol/l,2.604342
"Abduljalil 2009, 500 mg po MD",28.9244,4.30595636,µmol/l,3.220655
"Abduljalil 2009, 500 mg po MD",28.996,3.239615,µmol/l,2.423081
"Abduljalil 2009, 500 mg po MD",29.0053,4.14844561,µmol/l,3.102844
"Abduljalil 2009, 500 mg po MD",29.0687,2.28231835,µmol/l,1.707068
"Abduljalil 2009, 500 mg po MD",29.0745,2.85186172,µmol/l,2.13306
"Abduljalil 2009, 500 mg po MD",29.0803,3.40927863,µmol/l,2.549982
"Abduljalil 2009, 500 mg po MD",29.1557,2.71857738,µmol/l,2.033369
"Abduljalil 2009, 500 mg po MD",29.2359,2.50046134,µmol/l,1.870229
"Abduljalil 2009, 500 mg po MD",29.3271,3.3366,µmol/l,2.495621
"Abduljalil 2009, 500 mg po MD",29.4162,3.978849,µmol/l,2.975994
"Abduljalil 2009, 500 mg po MD",29.4336,5.675339,µmol/l,4.244889
"Abduljalil 2009, 500 mg po MD",29.4947,3.59109569,µmol/l,2.685972
"Abduljalil 2009, 500 mg po MD",29.5611,2.02791619,µmol/l,1.516787
"Abduljalil 2009, 500 mg po MD",29.5675,2.64592552,µmol/l,1.979029
"Abduljalil 2009, 500 mg po MD",29.5696,2.85192871,µmol/l,2.13311
"Abduljalil 2009, 500 mg po MD",29.5781,3.67592764,µmol/l,2.749423
"Abduljalil 2009, 500 mg po MD",29.6465,2.30663824,µmol/l,1.725258
"Abduljalil 2009, 500 mg po MD",29.7432,3.68808079,µmol/l,2.758513
"Abduljalil 2009, 500 mg po MD",29.8243,3.54267,µmol/l,2.649752
"Abduljalil 2009, 500 mg po MD",29.9048,3.34880662,µmol/l,2.504751
"Abduljalil 2009, 500 mg po MD",29.9751,2.16128087,µmol/l,1.616537
"Abduljalil 2009, 500 mg po MD",29.9858,3.20339584,µmol/l,2.395991
"Abduljalil 2009, 500 mg po MD",30.0047,5.045297,µmol/l,3.773647
"Abduljalil 2009, 500 mg po MD",30.0561,2.01587,µmol/l,1.507777
"Abduljalil 2009, 500 mg po MD",30.0583,2.23399949,µmol/l,1.670928
"Abduljalil 2009, 500 mg po MD",30.0615,2.53693438,µmol/l,1.897509
"Abduljalil 2009, 500 mg po MD",30.0631,2.6944716,µmol/l,2.015339
"Abduljalil 2009, 500 mg po MD",30.0641,2.79141665,µmol/l,2.08785
"Abduljalil 2009, 500 mg po MD",30.074,3.76082635,µmol/l,2.812923
"Abduljalil 2009, 500 mg po MD",30.2326,3.13073063,µmol/l,2.341641
"Abduljalil 2009, 500 mg po MD",35.8217,0.9988208,µmol/l,0.747071
"Abduljalil 2009, 500 mg po MD",35.982,0.5383702,µmol/l,0.402676
"Abduljalil 2009, 500 mg po MD",35.9838,0.720136344,µmol/l,0.538628
"Abduljalil 2009, 500 mg po MD",35.9877,1.09578586,µmol/l,0.819597
"Abduljalil 2009, 500 mg po MD",35.9887,1.19272816,µmol/l,0.892105
"Abduljalil 2009, 500 mg po MD",35.9899,1.31390464,µmol/l,0.982739
"Abduljalil 2009, 500 mg po MD",35.9922,1.53202748,µmol/l,1.145885
"Abduljalil 2009, 500 mg po MD",36.0857,2.59839559,µmol/l,1.943479
"Abduljalil 2009, 500 mg po MD",47.8756,1.65491009,µmol/l,1.237796
"Abduljalil 2009, 500 mg po MD",47.9497,0.843039,µmol/l,0.630554
"Abduljalil 2009, 500 mg po MD",47.9506,0.927864134,µmol/l,0.693999
"Abduljalil 2009, 500 mg po MD",47.9531,1.17021859,µmol/l,0.875269
"Abduljalil 2009, 500 mg po MD",47.9595,1.78822112,µmol/l,1.337506
"Abduljalil 2009, 500 mg po MD",47.972,3.012113,µmol/l,2.25292
"Abduljalil 2009, 500 mg po MD",48.0341,1.02481711,µmol/l,0.766515
"Abduljalil 2009, 500 mg po MD",48.038,1.400468,µmol/l,1.047485
"Abduljalil 2009, 500 mg po MD",48.0394,1.53376567,µmol/l,1.147185
